COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,P_CNT,M_F_RAT,P_H_CNT,P_DEN,A65_A0A14_RAT,COLLEGE_RATE,MARRIAGED_RATE,A0_A19_COUNT_RATE,A20_A39_COUNT_RATE,A40_A59_COUNT_RATE,A60_A79_COUNT_RATE,A80up_COUNT_RATE,ml1,ml2,ml3,ml4,ml5,ml6,ml7,ml8,ml9,ml10,ml11,ml12,ml13,ml14,ml15,ml16,ml17,ml18,ml19,ml20,ml21,ml22,ml23,ml24
63000,臺北市,63000010,松山區,63000010-002,莊敬里,5488,93.04,2.65,4173.94,162.83,50.2004373177842,46.4832361516035,16.7638483965015,26.1115160349854,30.1749271137026,22.631195335277,4.31851311953353,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
63000,臺北市,63000010,松山區,63000010-003,東榮里,8344,86.21,2.74,32402.75,124.42,62.7636625119847,48.741610738255,21.1649089165868,22.8787152444871,29.0627996164909,22.6390220517737,4.25455417066155,2,2,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,2,1,2
63000,臺北市,63000010,松山區,63000010-004,三民里,7053,86.24,2.4,53383.29,166.59,62.7676166170424,47.9086913370197,17.4819225861336,23.7912944846165,30.2424500212675,23.365943570112,5.11838933787041,2,3,1,2,3,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,2,2,1,1
63000,臺北市,63000010,松山區,63000010-005,新益里,4724,91.49,2.55,40890.52,168.12,55.8636748518205,48.4758679085521,16.0668924640135,26.6299745977985,29.995766299746,23.1583403895004,4.14902624894158,2,2,1,2,3,2,1,1,2,1,1,1,3,2,1,1,2,1,2,2,2,2,1,1
63000,臺北市,63000010,松山區,63000010-006,富錦里,5368,85.1,2.51,53073.37,141.08,60.0596125186289,46.6654247391952,18.4053651266766,25.7637853949329,28.8748137108793,23.0625931445604,3.89344262295082,2,2,1,2,3,1,1,1,1,1,2,1,3,2,1,2,2,1,2,2,2,2,1,1
63000,臺北市,63000010,松山區,63000010-007,新東里,5171,89.48,2.55,14729.63,131.97,56.1786888416167,48.0951460065751,18.333011023013,26.2811835234964,29.1239605492168,22.3941210597563,3.8677238445175,3,2,1,3,1,1,1,1,1,1,1,1,3,2,1,1,1,1,2,2,1,1,1,1
63000,臺北市,63000010,松山區,63000010-008,富泰里,4799,77.54,2.36,83039.17,145.81,61.9295686601375,46.4471764951032,17.9620754323817,23.775786622213,32.2983954990623,21.2961033548656,4.66763909147739,2,2,1,3,3,2,1,2,1,1,2,2,3,3,1,2,2,1,2,2,2,2,1,1
63000,臺北市,63000010,松山區,63000010-009,介壽里,4825,88.77,2.69,33965.72,93.46,58.6113989637306,47.6683937823834,24.4352331606218,21.2849740932642,29.9274611398964,20.2072538860104,4.14507772020725,4,2,1,3,2,1,1,1,1,1,1,1,3,2,1,1,2,1,2,3,1,1,1,1
63000,臺北市,63000010,松山區,63000010-010,精忠里,4630,86.69,2.62,2058.17,108.85,61.2526997840173,47.5161987041037,22.5269978401728,22.6565874730022,28.963282937365,21.2742980561555,4.57883369330454,1,3,1,3,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,3,2,1,1
63000,臺北市,63000010,松山區,63000010-011,東光里,7268,88.39,2.4,38332.12,213.7,62.5619152449092,48.2526141992295,14.8183819482664,24.7385800770501,30.4898183819483,24.1469455145845,5.8062740781508,2,2,1,2,3,2,1,1,3,1,1,1,2,2,1,1,1,1,2,2,2,2,1,1
63000,臺北市,63000010,松山區,63000010-012,龍田里,11227,86.9,2.6,49737.95,79.39,60.5682729135121,47.2432528725394,26.1512425403046,19.9608087645854,32.6623318785072,16.914580920994,4.3110358956088,2,3,1,2,2,1,1,1,1,1,1,1,2,4,1,3,1,2,1,1,1,2,1,2
63000,臺北市,63000010,松山區,63000010-013,東昌里,2939,87.2,2.76,55073.55,100.36,58.4892820687309,46.2402177611432,23.9537257570602,22.0823409322899,29.0915277305206,20.5512078938414,4.32119768628785,4,2,1,4,2,1,1,1,1,1,1,1,3,2,1,3,2,3,3,3,4,2,1,1
63000,臺北市,63000010,松山區,63000010-014,東勢里,4565,87.4,2.5,49918.53,127.76,57.7217962760132,47.0536692223439,21.0295728368018,22.3220153340635,29.0909090909091,22.6506024096386,4.90690032858708,2,2,1,2,3,1,1,1,1,1,1,1,3,2,1,2,2,1,2,2,2,2,1,1
63000,臺北市,63000010,松山區,63000010-015,中華里,6723,87.22,2.63,34266.58,102.07,62.6952253458278,48.4605087014726,23.4121671872676,22.1181020377808,29.0049085229808,21.0174029451138,4.44741930685706,2,2,1,2,2,1,1,1,1,1,1,1,3,2,1,1,1,1,2,2,2,2,1,1
63000,臺北市,63000010,松山區,63000010-016,民有里,9058,85.54,2.58,33317.76,182.09,63.1706778538309,48.3550452638552,16.1514683153014,25.2042393464341,28.615588430117,25.7672775447119,4.26142636343564,2,2,1,2,2,1,1,1,3,1,1,1,2,2,1,1,1,1,2,2,2,2,1,2
63000,臺北市,63000010,松山區,63000010-017,民福里,6488,89.99,2.43,30432.23,210.05,57.7836004932182,47.0715166461159,13.7638717632552,26.8187422934649,30.3791615289766,24.2447595561036,4.79346485819975,2,2,1,2,3,2,1,1,3,1,1,1,3,2,1,1,1,1,2,2,2,2,1,1
