COUNTY,TOWN,vote10,vote11,vote12,vote13,vote14,vote15,各鄉鎮市區教會個數,KMT得票率,大學畢業比例,曾經結婚比例,年齡中位數,所得中位數
苗栗縣,卓蘭鎮,0.769676484789957,0.691571586308428,0.614291012486092,0.434287071114805,0.276724137931035,0.289620190523321,2,0.597597864768683,0.1695,0.6887,44.9157,54
苗栗縣,通霄鎮,0.775698522294638,0.698559603728084,0.615479916536255,0.45524262858654,0.292797069994574,0.309216777521379,1,0.413783559368946,0.1675,0.6754,44,53.4
苗栗縣,苑裡鎮,0.77821103072442,0.696584628466153,0.607718264341049,0.476109537299339,0.276960076960077,0.300341461068629,4,0.524711485620077,0.1747,0.6652,41,52.5
苗栗縣,竹南鎮,0.747873829260416,0.69403267690976,0.618712656165128,0.411688100276738,0.307436700170264,0.320079903677758,9,0.521324303299318,0.2757,0.6678,37.7051,63.5
苗栗縣,大湖鄉,0.781605611847233,0.704078406576035,0.608252349848654,0.357769423558897,0.268554062699936,0.304801670146138,2,0.598132918426317,0.1546,0.6946,46,55.2
苗栗縣,西湖鄉,0.787259259259259,0.704271961492178,0.596316425120773,0.363827234553089,0.280569007263923,0.301374045801527,1,0.569551152446421,0.1519,0.7132,49,58.3
苗栗縣,南庄鄉,0.788152120916626,0.690846286701209,0.583497536945813,0.372466633712308,0.269040553907023,0.292209388056033,7,0.645752895752896,0.1196,0.692,46,51.8
苗栗縣,後龍鎮,0.768791863061275,0.679945140577271,0.587531328320802,0.454946831664697,0.29271380641894,0.316963437044547,2,0.425202456171576,0.1713,0.6723,42.2734,55.4
苗栗縣,造橋鄉,0.780713342140026,0.702293882978723,0.605188284518829,0.382718120805369,0.272650439486139,0.286486486486487,3,0.581142931868707,0.1914,0.6824,43,55.9
苗栗縣,頭屋鄉,0.780358667805295,0.73713298791019,0.618635261517146,0.391028933401815,0.274727178243548,0.292661820699204,2,0.637436099095556,0.1828,0.6907,44.86,58.3
苗栗縣,銅鑼鄉,0.771771037181996,0.708703155818541,0.591617210682493,0.356062454257136,0.268005879470848,0.287994107537442,4,0.570720274046696,0.1883,0.6789,44,57.5
苗栗縣,公館鄉,0.767978803936412,0.692956666240573,0.588886046809055,0.373835948462814,0.272399819900946,0.295346445558555,3,0.592750423576526,0.2101,0.6679,41.9947,59.6
苗栗縣,泰安鄉,0.814504045549895,0.721804511278195,0.619323377019201,0.333127317676143,0.222392168858978,0.237832874196511,21,0.629506008010681,0.0838,0.7135,42,57.9
彰化縣,二林鎮,0.774554091184278,0.710675752413402,0.619478570758698,0.429629974834561,0.267860526814478,0.305392926840878,1,0.0500050138717117,0.1596,0.6811,42,55.6
彰化縣,田尾鄉,0.77117020461338,0.694302523610466,0.617799829444143,0.450022751403003,0.279163439194423,0.300606343283582,0,0.0540409548043136,0.1812,0.6629,41,53.2
彰化縣,田中鎮,0.777218152218152,0.696741983632714,0.626320106633856,0.441520165460186,0.273092579062728,0.303737580823214,1,0.0476690025596912,0.2078,0.6602,41.6825,56.5
彰化縣,彰化市,0.740671241689899,0.688518978904322,0.62241444832516,0.450582392776524,0.318575133069469,0.320984842964366,8,0.0646365669995904,0.2759,0.6499,39,58.2
彰化縣,北斗鎮,0.774850377309394,0.716130732735899,0.622165253401696,0.451474878444084,0.295014856388247,0.321558993426731,0,0.053589377347511,0.2102,0.6602,39.5115,55.7
彰化縣,花壇鄉,0.769072717527247,0.710651685393258,0.642074771431158,0.443428728926455,0.293105833525478,0.285688056550078,0,0.0509967893675801,0.2131,0.6492,39.3824,51.7
彰化縣,線西鄉,0.770483588073165,0.699554990464081,0.603838332486019,0.435623665368672,0.324642126789366,0.295246568378241,0,0.030926819659214,0.1852,0.6608,39,49.4
彰化縣,大村鄉,0.762454469038947,0.691111746213204,0.609661615586191,0.444249985886072,0.276055371238989,0.314465408805031,0,0.0554165339642386,0.1978,0.6603,39.5842,53.5
彰化縣,二水鄉,0.777416417327956,0.720042277711719,0.656175928364498,0.486286234238919,0.296923283622195,0.28897542634618,0,0.0355365319530161,0.168,0.6888,46.3382,54.9
彰化縣,埔鹽鄉,0.790886899918633,0.722197551227558,0.621240719768466,0.406750788643533,0.251048417842165,0.271238095238095,1,0.0447661998575837,0.1858,0.6764,41,51.9
彰化縣,埔心鄉,0.765150204693536,0.689615139025948,0.599755842343914,0.457242178447277,0.290260422749037,0.308726401309252,0,0.049471639103445,0.1937,0.6621,40,52.1
彰化縣,芬園鄉,0.772571851030404,0.708019578313253,0.611392167884579,0.443916083916084,0.308496608892238,0.290359492705254,0,0.0462879678959386,0.1653,0.6785,42.2467,50.5
彰化縣,永靖鄉,0.770560590802283,0.693196697978935,0.599320498301246,0.454704619902858,0.304029304029304,0.324173932996788,0,0.0534894191805493,0.1963,0.6587,40,52.4
彰化縣,竹塘鄉,0.783409436834094,0.680499219968799,0.580191594561187,0.465415468442561,0.266002180345741,0.287552974415319,0,0.0435050910212897,0.131,0.71,44.3878,56.3
彰化縣,大城鄉,0.804291044776119,0.712863705972435,0.615267755412078,0.450696378830084,0.241156333206542,0.264053537284895,0,0.0352105530187722,0.0886,0.7354,46.35,52.9
彰化縣,埤頭鄉,0.772634552016319,0.677572599800782,0.608972863696447,0.44972467375726,0.288220160598737,0.303941582914573,0,0.048610714897016,0.1723,0.69,40.9029,54.6
彰化縣,芳苑鄉,0.789125366624051,0.713182942366784,0.610142630744849,0.492860803983305,0.25114085792516,0.283684657555401,0,0.0487935136184881,0.1132,0.7077,44.3386,50.7
彰化縣,溪州鄉,0.780992066672009,0.701382113821138,0.597123464770524,0.501749363867685,0.312505158893933,0.313148071339693,0,0.0467989935700308,0.1499,0.6879,42.5978,53.9
彰化縣,鹿港鎮,0.770741970645644,0.696350252635359,0.613338473400154,0.479687060568098,0.285933597002498,0.300031261397384,2,0.0236914941958938,0.2051,0.6559,38,52
彰化縣,社頭鄉,0.771388847509807,0.708733974358974,0.585254839193718,0.468367651447329,0.281226286234634,0.299033254036544,1,0.0435422885572139,0.2001,0.6615,40,52.4
彰化縣,員林市,0.74849744074477,0.686303939962477,0.607361963190184,0.431101620399447,0.304498896087444,0.312788933834152,2,0.0564982059234933,0.2647,0.6491,39,58.4
彰化縣,和美鎮,0.747160337347048,0.685359089139743,0.601696780029828,0.438553276589518,0.305500982318271,0.318190752297184,1,0.0348526004633698,0.2224,0.6507,38.1472,52.6
彰化縣,福興鄉,0.773422282820413,0.70842947616476,0.631653551004448,0.494274809160305,0.281907224183364,0.317084100980929,0,0.0280210157618214,0.1875,0.6571,39,50.4
彰化縣,溪湖鎮,0.75992974332362,0.690886351716626,0.613914434226309,0.428685227227466,0.286071255843947,0.311311594789222,0,0.0469956467859299,0.2129,0.6537,38,55.6
彰化縣,秀水鄉,0.758437041465138,0.693835015357613,0.61555348224576,0.455216588861144,0.294663060875324,0.309218914573979,0,0.036567229463739,0.2145,0.6556,38.0721,52.8
彰化縣,伸港鄉,0.755857944837686,0.683033784201099,0.601745805732681,0.439343657817109,0.290330568280302,0.307969439095596,0,0.0291579745875213,0.1853,0.6606,37.558,49.7
南投縣,中寮鄉,0.801673640167364,0.713437057991514,0.591210029581631,0.447634900818421,0.264222503160556,0.274667797568561,0,0.68401340429726,0.1197,0.7091,48.5848,49.3
南投縣,仁愛鄉,0.826616410553784,0.750215084599943,0.636086071532422,0.353478773584906,0.269400352733686,0.250554323725055,0,0.8278739184178,0.0946,0.69,37,56
南投縣,集集鎮,0.766482994489835,0.685135651509362,0.574668460503556,0.416666666666667,0.282633808240277,0.300153727901614,0,0.667132476243712,0.1605,0.6932,46.3654,57.6
南投縣,南投市,0.763864588843227,0.703806737987604,0.627297070787596,0.412777562941404,0.279475533816971,0.297428213706615,6,0.664780667371076,0.2528,0.649,41,58
南投縣,埔里鎮,0.780999920766976,0.702815460809647,0.609898301474895,0.383301409042009,0.263821506637522,0.291878580223781,3,0.680740660996878,0.1802,0.6484,42.9468,51.4
南投縣,水里鄉,0.780749969463784,0.708158737983732,0.601577909270217,0.411507647487254,0.272850790513834,0.286806411837238,0,0.677241624455701,0.1431,0.6778,47,51.4
南投縣,鹿谷鄉,0.798027127003699,0.709460301632806,0.581761399125547,0.416524908869988,0.318740592072253,0.28259250062081,0,0.704317789291883,0.161,0.715,48,54.7
