"","COUNTY_ID","COUNTY","TOWN_ID","TOWN","V_ID","VILLAGE","H_CNT","P_CNT","M_CNT","F_CNT","INFO_TIME","M_F_RAT","P_H_CNT","P_DEN","DEPENDENCY_RAT","A0A14_A15A65_RAT","A65UP_A15A64_RAT","A65_A0A14_RAT","COLLEGE_COUNT","COLLEGE_RATE","MARRIAGED_COUNT","MARRIAGED_RATE","A0_A19_COUNT","A20_A39_COUNT","A40_A59_COUNT","A60_A79_COUNT","A80up_COUNT","A0_A19_COUNT_RATE","A20_A39_COUNT_RATE","A40_A59_COUNT_RATE","A60_A79_COUNT_RATE","A80up_COUNT_RATE","FLD04"
"16","63000","臺北市","63000010","松山區","63000010-017","民福里","2671","6488","3073","3415","107Y06M","89.99","2.43","30432.23","42.78","13.8","28.98","210.05",3749,57.7836004932182,3054,47.0715166461159,893,1740,1971,1573,311,13.7638717632552,26.8187422934649,30.3791615289766,24.2447595561036,4.79346485819975,"703"
"17","63000","臺北市","63000010","松山區","63000010-018","慈祐里","4076","8141","4053","4088","107Y06M","99.14","2.","25743.27","36.82","13.39","23.43","174.91",4003,49.1708635302788,3329,40.8917823363223,1107,2274,2714,1676,370,13.5978381034271,27.9326864021619,33.3374278344184,20.5871514555951,4.54489620439749,"670"
"18","63000","臺北市","63000010","松山區","63000010-019","安平里","3590","8548","4081","4467","107Y06M","91.36","2.38","40824.51","40.5","15.58","24.92","159.92",4580,53.5797847449696,3908,45.7182966775854,1326,2492,2588,1748,394,15.5124005615349,29.153018249883,30.276087973795,20.4492278895648,4.60926532522227,"672"
"19","63000","臺北市","63000010","松山區","63000010-020","鵬程里","2152","5555","2681","2874","107Y06M","93.28","2.58","42966.76","36.76","14.18","22.58","159.2",3211,57.8037803780378,2525,45.4545454545455,876,1528,1743,1177,231,15.7695769576958,27.5067506750675,31.3771377137714,21.1881188118812,4.15841584158416,"746"
"20","63000","臺北市","63000010","松山區","63000010-021","自強里","3858","10204","4814","5390","107Y06M","89.31","2.64","65421.16","49.55","20.09","29.46","146.61",6215,60.9074872598981,4819,47.2265778126225,1888,2381,3244,2061,630,18.5025480203842,23.3339866718934,31.7914543316347,20.1979615836927,6.17404939239514,"828"
"21","63000","臺北市","63000010","松山區","63000010-022","吉祥里","3438","8685","4056","4629","107Y06M","87.62","2.53","40331.19","44.7","17.08","27.62","161.76",5323,61.2895797351756,4269,49.153713298791,1419,2393,2485,2033,355,16.3385146804836,27.5532527345999,28.6125503742084,23.4081750143926,4.08750719631549,"762"
"22","63000","臺北市","63000010","松山區","63000010-024","新聚里","3365","8269","3837","4432","107Y06M","86.57","2.46","53813.26","41.57","16.9","24.67","146.",4739,57.3104365703229,3826,46.2691982101826,1364,2363,2427,1799,316,16.4953440561132,28.5766114403193,29.3505865279961,21.7559559801669,3.82150199540452,"727"
"23","63000","臺北市","63000010","松山區","63000010-025","復盛里","2563","6603","3117","3486","107Y06M","89.41","2.58","40500.26","45.86","18.16","27.7","152.55",3684,55.7928214447978,3065,46.4182947145237,1139,1813,1906,1430,315,17.2497349689535,27.4572164167802,28.8656671210056,21.6568226563683,4.77055883689232,"728"
"24","63000","臺北市","63000010","松山區","63000010-026","中正里","3946","10651","4976","5675","107Y06M","87.68","2.7","29822.79","54.65","34.41","20.24","58.82",6078,57.06506431321,4863,45.657684724439,3003,2390,3282,1657,319,28.1945357243451,22.4392075861421,30.8140080743592,15.5572246737396,2.99502394141395,"998"
"25","63000","臺北市","63000010","松山區","63000010-027","中崙里","1729","4519","2104","2415","107Y06M","87.12","2.61","47881.92","50.99","31.11","19.88","63.91",2413,53.3967691967249,2040,45.1427306926311,1186,1055,1450,658,170,26.2447444124806,23.345872980748,32.0867448550564,14.5607435273291,3.76189422438593,"835"
"26","63000","臺北市","63000010","松山區","63000010-028","美仁里","1362","3772","1784","1988","107Y06M","89.74","2.77","17253.76","57.04","30.18","26.85","88.97",2037,54.0031813361612,1773,47.0042417815483,923,831,1133,730,155,24.4697773064687,22.0307529162248,30.0371155885472,19.3531283138918,4.10922587486744,"872"
"27","63000","臺北市","63000010","松山區","63000010-029","吉仁里","1565","4202","1978","2224","107Y06M","88.94","2.68","67205.12","53.86","27.28","26.58","97.45",2365,56.282722513089,1925,45.8115183246073,955,984,1274,816,173,22.7272727272727,23.417420276059,30.3188957639219,19.419324131366,4.11708710138029,"824"
"28","63000","臺北市","63000010","松山區","63000010-030","敦化里","2592","7400","3514","3886","107Y06M","90.43","2.85","52199.8","53.81","27.87","25.94","93.06",4179,56.472972972973,3415,46.1486486486486,1713,1785,2172,1429,301,23.1486486486486,24.1216216216216,29.3513513513514,19.3108108108108,4.06756756756757,"855"
"29","63000","臺北市","63000010","松山區","63000010-031","復源里","1256","3428","1643","1785","107Y06M","92.04","2.73","63667.77","53.52","28.48","25.03","87.89",1854,54.0840140023337,1575,45.9451575262544,829,783,1047,623,146,24.1831971995333,22.8413068844807,30.5425904317386,18.1738623103851,4.25904317386231,"807"
"30","63000","臺北市","63000010","松山區","63000010-032","復建里","1833","4794","2285","2509","107Y06M","91.07","2.62","53882.73","50.09","27.02","23.07","85.4",2715,56.6332916145181,2229,46.4956195244055,1117,1088,1585,837,167,23.2999582811848,22.6950354609929,33.0621610346266,17.459324155194,3.48352106800167,"872"
"31","63000","臺北市","63000010","松山區","63000010-033","復勢里","2624","6637","3040","3597","107Y06M","84.51","2.53","51469.96","50.46","24.46","26.","106.3",3805,57.3301190296821,3074,46.3161066747024,1398,1639,2006,1287,307,21.0637336145849,24.6948922706042,30.2244990206419,19.3912912460449,4.62558384812415,"794"
"32","63000","臺北市","63000010","松山區","63000010-034","福成里","1002","2779","1268","1511","107Y06M","83.92","2.77","35524.36","54.22","24.53","29.69","121.04",1713,61.640878013674,1317,47.3911478949262,591,641,820,575,152,21.266642677222,23.0658510255488,29.5070169125585,20.6908960057575,5.46959337891328,"883"
"33","63000","臺北市","63000010","松山區","63000010-035","松基里","1474","3706","1706","2000","107Y06M","85.3","2.51","21017.41","46.48","17.39","29.09","167.27",2189,59.066378845116,1790,48.3000539665407,592,992,1039,901,182,15.9740960604425,26.7674042093902,28.0356179168915,24.3119266055046,4.91095520777118,"814"
"34","63000","臺北市","63000020","信義區","63000020-001","西村里","2922","5954","3060","2894","107Y06M","105.74","2.04","11604.43","50.62","15.89","34.73","218.63",3405,57.1884447430299,2424,40.712126301646,835,1357,1854,1522,386,14.0241854215653,22.791400738999,31.1387302653678,25.5626469600269,6.48303661404098,"755"
"35","63000","臺北市","63000020","信義區","63000020-002","正和里","1940","4840","2217","2623","107Y06M","84.52","2.49","65024.05","51.91","21.81","30.1","137.99",3005,62.0867768595041,2373,49.0289256198347,948,1092,1477,1099,224,19.5867768595041,22.5619834710744,30.5165289256198,22.7066115702479,4.62809917355372,"782"
"36","63000","臺北市","63000020","信義區","63000020-003","興隆里","1257","2984","1383","1601","107Y06M","86.38","2.37","11058.53","56.56","20.72","35.83","172.91",1775,59.4839142091153,1349,45.2077747989276,526,686,883,718,171,17.627345844504,22.9892761394102,29.5911528150134,24.0616621983914,5.73056300268096,"806"
"37","63000","臺北市","63000020","信義區","63000020-004","中興里","1750","3596","1589","2007","107Y06M","79.17","2.05","43965.18","45.12","17.59","27.52","156.42",2246,62.4582869855395,1656,46.0511679644049,568,941,1130,789,168,15.7953281423804,26.1679644048943,31.4238042269188,21.9410456062291,4.67185761957731,"794"
"38","63000","臺北市","63000020","信義區","63000020-005","新仁里","1383","3496","1637","1859","107Y06M","88.06","2.53","6064.79","50.04","20.64","29.4","142.41",2222,63.558352402746,1708,48.8558352402746,663,857,1039,776,161,18.9645308924485,24.5137299771167,29.7196796338673,22.1967963386728,4.60526315789474,"847"
"39","63000","臺北市","63000020","信義區","63000020-006","興雅里","2462","5913","2761","3152","107Y06M","87.6","2.4","23734.98","48.31","16.8","31.5","187.46",3487,58.9717571452731,2862,48.4018264840183,939,1487,1796,1388,303,15.8802638254693,25.1479790292576,30.373752748182,23.4737020125148,5.12430238457636,"728"
"40","63000","臺北市","63000020","信義區","63000020-007","敦厚里","2299","5354","2480","2874","107Y06M","86.29","2.33","48486.28","42.7","17.59","25.11","142.73",3240,60.5155024280912,2559,47.7960403436683,856,1538,1693,1051,216,15.988046320508,28.7261860291371,31.6212177810982,19.6301830407172,4.03436682853941,"758"
"41","63000","臺北市","63000020","信義區","63000020-008","廣居里","3141","8303","3880","4423","107Y06M","87.72","2.64","49696.54","48.91","25.02","23.89","95.48",4833,58.2078766710827,3878,46.7060098759485,1769,2095,2499,1622,318,21.3055522100446,25.2318439118391,30.0975551005661,19.5351077923642,3.82994098518608,"838"
"42","63000","臺北市","63000020","信義區","63000020-009","安康里","4424","11156","5268","5888","107Y06M","89.47","2.52","22226.21","51.7","27.89","23.81","85.37",6552,58.7307278594478,5317,47.6604517748297,2616,2793,3239,2158,350,23.4492649695231,25.0358551452133,29.0337038365005,19.3438508425959,3.13732520616709,"968"
"43","63000","臺北市","63000020","信義區","63000020-010","六藝里","1405","3892","1892","2000","107Y06M","94.6","2.77","60998.35","43.78","21.54","22.24","103.26",1902,48.8694758478931,1813,46.5827338129496,796,1055,1184,706,151,20.4522096608428,27.1068859198356,30.4213771839671,18.1397738951696,3.879753340185,"710"
"44","63000","臺北市","63000020","信義區","63000020-011","雅祥里","2097","5136","2508","2628","107Y06M","95.43","2.45","31912.12","40.02","16.71","23.31","139.48",2725,53.0568535825545,2393,46.5926791277259,849,1443,1613,1046,185,16.5303738317757,28.0957943925234,31.4057632398754,20.3660436137072,3.60202492211838,"702"
"45","63000","臺北市","63000020","信義區","63000020-012","五常里","1462","3814","1847","1967","107Y06M","93.9","2.61","44657.28","42.58","17.12","25.46","148.69",1999,52.4121657052963,1782,46.7226009438909,632,1095,1105,817,165,16.5705296276875,28.7100157315155,28.9722076560042,21.4210802307289,4.32616675406397,"674"
"46","63000","臺北市","63000020","信義區","63000020-013","五全里","2019","5103","2417","2686","107Y06M","89.99","2.53","63098.15","41.2","15.08","26.12","173.21",2728,53.4587497550461,2415,47.3251028806584,762,1456,1555,1083,247,14.9323927101705,28.5322359396433,30.472271213012,21.222810111699,4.84029002547521,"669"
"47","63000","臺北市","63000020","信義區","63000020-014","永吉里","1440","4148","2085","2063","107Y06M","101.07","2.88","36074.58","35.87","15.92","19.95","125.31",1745,42.0684667309547,1929,46.5043394406943,679,1328,1241,783,117,16.3693346190935,32.0154291224687,29.9180327868852,18.8765670202507,2.82063645130183,"607"
"48","63000","臺北市","63000020","信義區","63000020-015","長春里","1733","4419","2136","2283","107Y06M","93.56","2.55","50500.55","35.39","12.59","22.79","181.02",2121,47.9972844534963,2014,45.5759221543336,594,1377,1380,867,201,13.4419551934827,31.1608961303462,31.2287847929396,19.6198234894773,4.54854039375424,"644"
"49","63000","臺北市","63000020","信義區","63000020-016","四育里","2195","5715","2810","2905","107Y06M","96.73","2.6","36916.7","39.87","14.37","25.5","177.51",2940,51.4435695538058,2746,48.0489938757655,815,1757,1628,1278,237,14.2607174103237,30.7436570428696,28.4864391951006,22.3622047244094,4.14698162729659,"688"
"50","63000","臺北市","63000020","信義區","63000020-017","四維里","2167","5479","2621","2858","107Y06M","91.71","2.53","96244.38","38.78","13.3","25.48","191.62",3096,56.5066617995985,2637,48.1292206607045,732,1712,1501,1294,240,13.3601022084322,31.246577842672,27.3955101295857,23.6174484394963,4.38036137981383,"676"
"51","63000","臺北市","63000020","信義區","63000020-018","永春里","1985","5098","2475","2623","107Y06M","94.36","2.57","36837.12","43.69","16.94","26.75","157.9",2617,51.3338564142801,2374,46.5672812867791,777,1536,1446,1094,245,15.2412710867007,30.1294625343272,28.3640643389565,21.4593958415065,4.80580619850922,"681"
"52","63000","臺北市","63000020","信義區","63000020-019","富臺里",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"783"
"53","63000","臺北市","63000020","信義區","63000020-020","國業里","3043","8152","3877","4275","107Y06M","90.69","2.68","90196.95","49.58","26.","23.58","90.68",4546,55.765456329735,3760,46.1236506378803,1851,1963,2522,1514,302,22.7060843964671,24.0799803729146,30.937193326791,18.5721295387635,3.70461236506379,"792"
"54","63000","臺北市","63000020","信義區","63000020-021","松隆里","877","2310","1135","1175","107Y06M","96.6","2.63","3072.8","37.25","14.08","23.17","164.56",1048,45.3679653679654,977,42.2943722943723,330,669,731,493,87,14.2857142857143,28.961038961039,31.6450216450216,21.3419913419913,3.76623376623377,"627"
"55","63000","臺北市","63000020","信義區","63000020-022","松友里","2559","7140","3368","3772","107Y06M","89.29","2.79","34083.59","49.59","24.53","25.06","102.13",3800,53.2212885154062,3295,46.1484593837535,1507,1900,2053,1428,252,21.1064425770308,26.6106442577031,28.7535014005602,20,3.52941176470588,"732"
"56","63000","臺北市","63000020","信義區","63000020-023","松光里","2091","5003","2410","2593","107Y06M","92.94","2.39","45060.3","45.27","12.31","32.96","267.69",2723,54.4273435938437,2425,48.4709174495303,633,1362,1532,1238,238,12.6524085548671,27.2236658005197,30.6216270237857,24.745152908255,4.75714571257246,"711"
"57","63000","臺北市","63000020","信義區","63000020-024","中坡里","1691","4579","2230","2349","107Y06M","94.93","2.71","32450.55","40.37","14.68","25.69","174.95",2389,52.1729635291548,2185,47.7178423236515,674,1400,1310,1024,171,14.7193710417122,30.5743612142389,28.6088665647521,22.3629613452719,3.7344398340249,"651"
"58","63000","臺北市","63000020","信義區","63000020-025","中行里","2970","8241","4041","4200","107Y06M","96.21","2.77","9743.91","39.02","16.4","22.62","137.96",4119,49.9817983254459,3762,45.6497997815799,1339,2581,2357,1684,280,16.2480281519233,31.3190146826841,28.600897949278,20.4344132993569,3.39764591675768,"664"
"59","63000","臺北市","63000020","信義區","63000020-026","大道里","2422","6207","3020","3187","107Y06M","94.76","2.56","52804.41","41.58","14.26","27.33","191.68",3410,54.9379732560013,3015,48.5741904301595,888,1788,1811,1471,249,14.3064282261962,28.8061865635573,29.1767359432898,23.6990494602868,4.01159980666989,"682"
"60","63000","臺北市","63000020","信義區","63000020-027","大仁里","1643","4107","1964","2143","107Y06M","91.65","2.5","31135.81","42.7","13.41","29.29","218.39",2042,49.7199902605308,1917,46.6764061358656,581,1114,1290,907,215,14.1465790114439,27.1244217190163,31.4097881665449,22.0842464085707,5.23496469442415,"651"
"61","63000","臺北市","63000020","信義區","63000020-028","景新里","2170","5312","2459","2853","107Y06M","86.19","2.45","24829.16","49.09","20.24","28.85","142.58",3175,59.7703313253012,2533,47.6844879518072,975,1375,1525,1191,246,18.3546686746988,25.8847891566265,28.7085843373494,22.4209337349398,4.63102409638554,"861"
"62","63000","臺北市","63000020","信義區","63000020-029","惠安里","2649","6773","3274","3499","107Y06M","93.57","2.56","18227.03","35.73","13.87","21.86","157.66",3636,53.6837442787539,3111,45.9323785619371,999,1977,2218,1326,253,14.7497416211428,29.1894286136129,32.747674590285,19.5777351247601,3.73542005019932,"709"
"63","63000","臺北市","63000020","信義區","63000020-030","三張里","3681","9201","4399","4802","107Y06M","91.61","2.5","31147.39","45.56","16.83","28.73","170.68",5189,56.3960439082708,4374,47.5383110531464,1482,2464,2770,2029,456,16.1069448972938,26.7796978589284,30.1054233235518,22.0519508749049,4.95598304532116,"700"
"64","63000","臺北市","63000020","信義區","63000020-031","三犁里","2168","5375","2529","2846","107Y06M","88.86","2.48","9586.32","45.","16.37","28.62","174.79",3165,58.8837209302326,2629,48.9116279069767,832,1405,1644,1263,231,15.4790697674419,26.1395348837209,30.5860465116279,23.4976744186046,4.29767441860465,"807"
"65","63000","臺北市","63000020","信義區","63000020-032","六合里","2790","6877","3271","3606","107Y06M","90.71","2.46","5400.41","39.55","13.6","25.95","190.9",4112,59.7935146139305,3190,46.3865057437836,957,1879,2214,1516,311,13.9159517231351,27.322960593282,32.1942707575978,22.0444961465755,4.52232077940963,"757"
"66","63000","臺北市","63000020","信義區","63000020-033","泰和里","3128","8104","3851","4253","107Y06M","90.55","2.59","11525.69","37.24","15.85","21.39","134.94",4031,49.7408687068115,3577,44.1386969397828,1324,2400,2541,1588,251,16.3376110562685,29.6150049358342,31.3548864758144,19.5952615992103,3.09723593287266,"691"
"67","63000","臺北市","63000020","信義區","63000020-034","景聯里","1918","4662","2187","2475","107Y06M","88.36","2.43","41625.37","43.05","13.35","29.7","222.53",2803,60.1244101244101,2258,48.4341484341484,632,1305,1390,1121,214,13.5564135564136,27.992277992278,29.8155298155298,24.045474045474,4.59030459030459,"723"
"68","63000","臺北市","63000020","信義區","63000020-035","景勤里","1689","4194","2028","2166","107Y06M","93.63","2.48","23668.71","44.57","16.13","28.44","176.28",2169,51.7167381974249,1874,44.6828803051979,652,1093,1333,900,216,15.5460181211254,26.0610395803529,31.7835002384359,21.4592274678112,5.15021459227468,"682"
"69","63000","臺北市","63000020","信義區","63000020-036","雙和里","2931","7363","3497","3866","107Y06M","90.46","2.51","28461.76","41.54","17.19","24.36","141.72",4095,55.6159174249626,3472,47.154692380823,1238,2077,2234,1547,267,16.8137987233465,28.2086106206709,30.3408936574766,21.0104576938748,3.62623930463126,"742"
"70","63000","臺北市","63000020","信義區","63000020-037","嘉興里","1305","3225","1488","1737","107Y06M","85.66","2.47","55800.67","42.2","14.11","28.09","199.06",1852,57.4263565891473,1511,46.8527131782946,435,896,987,767,140,13.4883720930233,27.7829457364341,30.6046511627907,23.7829457364341,4.34108527131783,"656"
"71","63000","臺北市","63000020","信義區","63000020-038","黎順里","1760","4169","1998","2171","107Y06M","92.03","2.37","22531.12","39.71","14.14","25.57","180.81",2387,57.2559366754617,1964,47.1096186135764,550,1253,1252,937,177,13.1926121372032,30.055169105301,30.0311825377788,22.4754137682898,4.2456224514272,"737"
"72","63000","臺北市","63000020","信義區","63000020-039","黎平里","3006","7273","3422","3851","107Y06M","88.86","2.42","55339.97","41.25","16.22","25.03","154.37",4113,56.5516293139007,3439,47.2844768321188,1139,2073,2252,1526,283,15.6606627251478,28.5026811494569,30.9638388560429,20.9817131857555,3.89110408359686,"737"
"73","63000","臺北市","63000020","信義區","63000020-040","黎忠里","2004","4967","2342","2625","107Y06M","89.22","2.48","34455.01","40.59","15.03","25.56","170.06",2526,50.8556472719952,2313,46.5673444735253,739,1435,1520,1093,180,14.8781960942219,28.8906784779545,30.6019730219448,22.0052345480169,3.62391785786189,"701"
"74","63000","臺北市","63000020","信義區","63000020-041","黎安里","929","2098","1019","1079","107Y06M","94.44","2.26","2920.79","47.12","11.78","35.34","300.",752,35.8436606291706,891,42.4690181124881,253,468,670,500,207,12.0591039084843,22.3069590085796,31.9351763584366,23.8322211630124,9.86653956148713,"577"
